state,mean_stringency,median_stringency,max_stringency,cumulative_stringency,days_above_70,days_total,median_covid_oe,mean_covid_oe,n_diseases
VIC,68.26609538002981,66.67,94.44,45806.549999999996,320,671,0.5555555555555556,0.7106326215136274,47
NSW,60.53301043219076,57.41,90.74,40617.65,156,671,0.6018874643874643,0.875210354019172,44
ACT,59.31193740685544,57.41,90.74,39798.31,142,671,0.6666666666666666,0.8078317675332239,39
QLD,58.94672131147541,57.41,90.74,39553.25,74,671,0.8055555555555556,0.8639863549920536,47
TAS,58.179135618479876,57.41,87.04,39038.2,83,671,0.5952380952380952,0.6390970539912245,41
SA,55.352667660208645,57.41,96.3,37141.64,57,671,0.54,0.8549398436990087,47
WA,54.86830104321908,51.85,87.04,36816.63,62,671,0.8689839572192514,0.9739677681310686,47
NT,52.579865871833086,51.85,87.04,35281.090000000004,61,671,0.718562874251497,1.1769322835280924,43
