disease,year,state,rate_per_100k
Cholera,2004,VIC,0.04
Cholera,2004,WA,0.05
Cholera,2004,AUS,0.03
Cholera,2003,ACT,0
Cholera,2003,NSW,0
Cholera,2003,NT,0
Cholera,2003,QLD,0
Cholera,2003,SA,0.07
Cholera,2003,TAS,0
Cholera,2003,VIC,0
Cholera,2003,WA,0
Cholera,2003,AUS,0.01
Cholera,2002,ACT,0
Cholera,2002,NSW,0.02
Cholera,2002,NT,0
Cholera,2002,QLD,0
Cholera,2002,SA,0.2
Cholera,2002,TAS,0
Cholera,2002,VIC,0.02
Cholera,2002,WA,0
Cholera,2002,AUS,0.03
Cholera,2001,ACT,0
Cholera,2001,NSW,0.02
Cholera,2001,NT,0
Cholera,2001,QLD,0
Cholera,2001,SA,0.07
Cholera,2001,TAS,0
Cholera,2001,VIC,0.02
Cholera,2001,WA,0
Cholera,2001,AUS,0.02
Cholera,2000,ACT,0
Cholera,2000,NSW,0
Cholera,2000,NT,0
Cholera,2000,QLD,0
Cholera,2000,SA,0.13
Cholera,2000,TAS,0
Cholera,2000,VIC,0
Cholera,2000,WA,0
Cholera,2000,AUS,0.01
Cholera,1999,ACT,0
Cholera,1999,NSW,0.03
Cholera,1999,NT,0
Cholera,1999,QLD,0
Cholera,1999,SA,0
Cholera,1999,TAS,0
Cholera,1999,VIC,0.02
Cholera,1999,WA,0
Cholera,1999,AUS,0.02
Cholera,1998,ACT,0
Cholera,1998,NSW,0.02
Cholera,1998,NT,0
Cholera,1998,QLD,0.03
Cholera,1998,SA,0
Cholera,1998,TAS,0
Cholera,1998,VIC,0.02
Cholera,1998,WA,0
Cholera,1998,AUS,0.02
Cholera,1997,ACT,0
Cholera,1997,NSW,0.02
Cholera,1997,NT,0
Cholera,1997,QLD,0
Cholera,1997,SA,0
Cholera,1997,TAS,0
Cholera,1997,VIC,0
Cholera,1997,WA,0
Cholera,1997,AUS,0.01
Cholera,1996,ACT,0
Cholera,1996,NSW,0.05
Cholera,1996,NT,0
Cholera,1996,QLD,0.03
Cholera,1996,SA,0.07
Cholera,1996,TAS,0
Cholera,1996,VIC,0
Cholera,1996,WA,0
Cholera,1996,AUS,0.03
Cholera,1995,ACT,0.65
Cholera,1995,NSW,0.02
Cholera,1995,NT,0
Cholera,1995,QLD,0.06
Cholera,1995,SA,0
Cholera,1995,TAS,0
Cholera,1995,VIC,0
Cholera,1995,WA,0.06
Cholera,1995,AUS,0.03
Cholera,1994,ACT,0
Cholera,1994,NSW,0
Cholera,1994,NT,0
Cholera,1994,QLD,0.06
Cholera,1994,SA,0
Cholera,1994,TAS,0
Cholera,1994,VIC,0.02
Cholera,1994,WA,0
Cholera,1994,AUS,0.02
Cholera,1993,ACT,0
Cholera,1993,NSW,0.02
Cholera,1993,NT,0
Cholera,1993,QLD,0.13
Cholera,1993,SA,0
Cholera,1993,TAS,0
Cholera,1993,VIC,0
Cholera,1993,WA,0.06
Cholera,1993,AUS,0.03
Cholera,1992,ACT,0
Cholera,1992,NSW,0
Cholera,1992,NT,0
Cholera,1992,QLD,0.03
Cholera,1992,SA,0.14
Cholera,1992,TAS,0
Cholera,1992,VIC,0
Cholera,1992,WA,0.06
Cholera,1992,AUS,0.02
Cholera,1991,ACT,0
Cholera,1991,NSW,0
Cholera,1991,NT,0
Cholera,1991,QLD,0
Cholera,1991,SA,0
Cholera,1991,TAS,0
Cholera,1991,VIC,0.02
Cholera,1991,WA,0
Cholera,1991,AUS,0.01
COVID-19,2025,ACT,629
COVID-19,2025,NSW,969
COVID-19,2025,NT,652
COVID-19,2025,QLD,684
COVID-19,2025,SA,609
COVID-19,2025,TAS,519
COVID-19,2025,VIC,489
COVID-19,2025,WA,407
COVID-19,2025,AUS,697
COVID-19,2024,ACT,1010
COVID-19,2024,NSW,1579
COVID-19,2024,NT,1111
COVID-19,2024,QLD,1319
COVID-19,2024,SA,2347
COVID-19,2024,TAS,2114
COVID-19,2024,VIC,778
COVID-19,2024,WA,543
COVID-19,2024,AUS,1284
COVID-19,2023,ACT,4996
COVID-19,2023,NSW,3714
COVID-19,2023,NT,2634
COVID-19,2023,QLD,2569
COVID-19,2023,SA,5134
COVID-19,2023,TAS,6000
COVID-19,2023,VIC,2337
COVID-19,2023,WA,3313
COVID-19,2023,AUS,3246
COVID-19,2022,ACT,48367
COVID-19,2022,NSW,41241
COVID-19,2022,NT,41217
COVID-19,2022,QLD,29825
COVID-19,2022,SA,46649
COVID-19,2022,TAS,48958
COVID-19,2022,VIC,39535
COVID-19,2022,WA,45348
COVID-19,2022,AUS,39584
COVID-19,2021,ACT,1412
COVID-19,2021,NSW,3461
COVID-19,2021,NT,302
COVID-19,2021,QLD,606
COVID-19,2021,SA,1030
COVID-19,2021,TAS,287
COVID-19,2021,VIC,3045
COVID-19,2021,WA,2
COVID-19,2021,AUS,2098
COVID-19,2020,ACT,36
COVID-19,2020,NSW,62
COVID-19,2020,NT,32
COVID-19,2020,QLD,25
COVID-19,2020,SA,34
COVID-19,2020,TAS,44
COVID-19,2020,VIC,313
COVID-19,2020,WA,0.07
COVID-19,2020,AUS,110
COVID-19,2019,ACT,0
COVID-19,2019,NSW,0
COVID-19,2019,NT,0
COVID-19,2019,QLD,0
COVID-19,2019,SA,0
COVID-19,2019,TAS,0
COVID-19,2019,VIC,0
COVID-19,2019,WA,0
COVID-19,2019,AUS,NA
COVID-19,2018,ACT,0
COVID-19,2018,NSW,0
COVID-19,2018,NT,0
COVID-19,2018,QLD,0
COVID-19,2018,SA,0
COVID-19,2018,TAS,0
COVID-19,2018,VIC,0
COVID-19,2018,WA,0
COVID-19,2018,AUS,NA
COVID-19,2017,ACT,0
COVID-19,2017,NSW,0
COVID-19,2017,NT,0
COVID-19,2017,QLD,0
COVID-19,2017,SA,0
COVID-19,2017,TAS,0
COVID-19,2017,VIC,0
COVID-19,2017,WA,0
COVID-19,2017,AUS,NA
COVID-19,2016,ACT,0
COVID-19,2016,NSW,0
COVID-19,2016,NT,0
COVID-19,2016,QLD,0
COVID-19,2016,SA,0
COVID-19,2016,TAS,0
COVID-19,2016,VIC,0
COVID-19,2016,WA,0
COVID-19,2016,AUS,NA
COVID-19,2015,ACT,0
COVID-19,2015,NSW,0
COVID-19,2015,NT,0
COVID-19,2015,QLD,0
COVID-19,2015,SA,0
COVID-19,2015,TAS,0
COVID-19,2015,VIC,0
COVID-19,2015,WA,0
COVID-19,2015,AUS,NA
COVID-19,2014,ACT,0
COVID-19,2014,NSW,0
COVID-19,2014,NT,0
COVID-19,2014,QLD,0
COVID-19,2014,SA,0
COVID-19,2014,TAS,0
COVID-19,2014,VIC,0
COVID-19,2014,WA,0
COVID-19,2014,AUS,NA
COVID-19,2013,ACT,0
COVID-19,2013,NSW,0
COVID-19,2013,NT,0
COVID-19,2013,QLD,0
COVID-19,2013,SA,0
COVID-19,2013,TAS,0
COVID-19,2013,VIC,0
COVID-19,2013,WA,0
COVID-19,2013,AUS,NA
COVID-19,2012,ACT,0
COVID-19,2012,NSW,0
COVID-19,2012,NT,0
COVID-19,2012,QLD,0
COVID-19,2012,SA,0
COVID-19,2012,TAS,0
COVID-19,2012,VIC,0
COVID-19,2012,WA,0
COVID-19,2012,AUS,NA
COVID-19,2011,ACT,0
COVID-19,2011,NSW,0
COVID-19,2011,NT,0
COVID-19,2011,QLD,0
COVID-19,2011,SA,0
COVID-19,2011,TAS,0
COVID-19,2011,VIC,0
COVID-19,2011,WA,0
COVID-19,2011,AUS,NA
COVID-19,2010,ACT,0
COVID-19,2010,NSW,0
COVID-19,2010,NT,0
COVID-19,2010,QLD,0
COVID-19,2010,SA,0
COVID-19,2010,TAS,0
COVID-19,2010,VIC,0
COVID-19,2010,WA,0
COVID-19,2010,AUS,NA
COVID-19,2009,ACT,0
COVID-19,2009,NSW,0
COVID-19,2009,NT,0
COVID-19,2009,QLD,0
COVID-19,2009,SA,0
COVID-19,2009,TAS,0
COVID-19,2009,VIC,0
COVID-19,2009,WA,0
COVID-19,2009,AUS,NA
COVID-19,2008,ACT,0
COVID-19,2008,NSW,0
COVID-19,2008,NT,0
COVID-19,2008,QLD,0
COVID-19,2008,SA,0
COVID-19,2008,TAS,0
COVID-19,2008,VIC,0
COVID-19,2008,WA,0
