model,formula,r_squared,adj_r_squared,aic,bic,df,f_stat,f_pvalue
M1,covid_oe_rate ~ transmission_mode,0.2148506572077627,0.11910073735505067,83.07102735254546,96.02206056451587,6,2.243872971781684,0.06799662918519592
M2,covid_oe_rate ~ transmission_mode + border_sensitive,0.2938656390892996,0.18794548495269447,80.08581194189779,94.88699275557826,7,2.774407207813364,0.023762946002587226
M3,covid_oe_rate ~ transmission_mode + border_sensitive + vaccine_preventable,0.43657593409580164,0.3354485376514583,71.47448271493465,88.12581113032518,8,4.317088637163488,0.0012783329071934023
M4,covid_oe_rate ~ transmission_mode + border_sensitive + vaccine_preventable + log_baseline_rate,0.54166234942473,0.44517021246151534,63.772440543016415,82.273916560117,9,5.613538744936548,1.016719791946671e-4
M5,covid_oe_rate ~ border_sensitive + vaccine_preventable + log_baseline_rate,0.4055779908575885,0.36410668789416445,65.99165937419879,75.24239738274909,4,9.779726265540564,4.861121171500734e-5
