disease,year,month,date,time,count,log_count,gam_fitted_log,gam_fitted_count
Influenza (laboratory confirmed),2019,9,2019-09-01,57,33028,10.405141242419408,8.667263288252217,5808.578432435363
Influenza (laboratory confirmed),2019,10,2019-10-01,58,8745,9.076351731972865,8.035694911212316,3088.2848754445063
Influenza (laboratory confirmed),2019,11,2019-11-01,59,4625,8.439447842791385,7.629782420761526,2057.602062036973
Influenza (laboratory confirmed),2019,12,2019-12-01,60,3860,8.258681496264236,7.534887989415688,1871.234636915393
Influenza (laboratory confirmed),2020,1,2020-01-01,61,7505,8.923457979694966,7.541348113313138,1883.3686560692577
Influenza (laboratory confirmed),2020,2,2020-02-01,62,7032,8.858368636308018,7.625470254532645,2048.744139888646
Influenza (laboratory confirmed),2020,3,2020-03-01,63,5972,8.695004592732307,7.890095533556553,2669.69904986863
Influenza (laboratory confirmed),2020,4,2020-04-01,64,327,5.793013608384144,8.076959785303401,3218.4305829362397
Influenza (laboratory confirmed),2020,5,2020-05-01,65,297,5.697093486505405,8.416097256072188,4518.231589594691
Influenza (laboratory confirmed),2020,6,2020-06-01,66,193,5.267858159063328,8.820302039419872,6769.309216748195
Influenza (laboratory confirmed),2020,7,2020-07-01,67,231,5.44673737166631,9.105724138102023,9005.70102947074
Influenza (laboratory confirmed),2020,8,2020-08-01,68,115,4.7535901911063645,9.105383743615448,9002.63571983493
Influenza (laboratory confirmed),2020,9,2020-09-01,69,61,4.127134385045092,8.744784776065808,6276.862128245953
Influenza (laboratory confirmed),2020,10,2020-10-01,70,41,3.7376696182833684,8.113216399423345,3337.298080691214
Influenza (laboratory confirmed),2020,11,2020-11-01,71,53,3.9889840465642745,7.707303909412815,2223.5366137176798
Influenza (laboratory confirmed),2020,12,2020-12-01,72,54,4.007333185232471,7.61240947854812,2022.1469588500795
Influenza (laboratory confirmed),2021,1,2021-01-01,73,66,4.204692619390966,7.6188696029644465,2035.2590471769786
Influenza (laboratory confirmed),2021,2,2021-02-01,74,46,3.8501476017100584,7.702991744736399,2213.964698180932
Influenza (laboratory confirmed),2021,3,2021-03-01,75,50,3.9318256327243257,7.9676170243416164,2884.971962668703
Influenza (laboratory confirmed),2021,4,2021-04-01,76,72,4.290459441148391,8.154481276693762,3477.9342528852526
Influenza (laboratory confirmed),2021,5,2021-05-01,77,67,4.219507705176107,8.493618748087265,4882.506315344979
Influenza (laboratory confirmed),2021,6,2021-06-01,78,59,4.0943445622221,8.897823532075027,7315.03308715502
Influenza (laboratory confirmed),2021,7,2021-07-01,79,72,4.290459441148391,9.183245631409239,9731.690290966715
