disease,year,month,date,time,count,log_count,gam_fitted_log,gam_fitted_count
Salmonellosis,2016,1,2016-01-01,13,2429,7.795646536334594,7.466682784926279,1747.7959209357612
Salmonellosis,2016,2,2016-02-01,14,2152,7.674617497364363,7.581819372319066,1961.195684322003
Salmonellosis,2016,3,2016-03-01,15,1784,7.487173694213739,7.564101294619097,1926.7355340371207
Salmonellosis,2016,4,2016-04-01,16,2068,7.634820677745543,7.3929528142059135,1623.4958723079283
Salmonellosis,2016,5,2016-05-01,17,1391,7.238496840894365,7.190084970663271,1325.2158902635383
Salmonellosis,2016,6,2016-06-01,18,1092,6.996681488176539,6.989588400650935,1084.274685888662
Salmonellosis,2016,7,2016-07-01,19,1410,7.252053951852814,6.868621202581538,960.6217697170715
Salmonellosis,2016,8,2016-08-01,20,893,6.795705775173514,6.79054883010377,888.4015582543335
Salmonellosis,2016,9,2016-09-01,21,1016,6.92461239604856,6.848689438288166,941.6447027324779
Salmonellosis,2016,10,2016-10-01,22,943,6.8501261661455,7.0206890056521445,1118.5577336707672
Salmonellosis,2016,11,2016-11-01,23,1105,7.00850518208228,7.214846601447973,1358.46511210958
Salmonellosis,2016,12,2016-12-01,24,1763,7.475339236566737,7.4200552448386325,1668.1257157785458
Salmonellosis,2017,1,2017-01-01,25,1909,7.554858521040676,7.414801019237105,1659.3787520938251
Salmonellosis,2017,2,2017-02-01,26,1788,7.489412083508719,7.52806435916499,1858.5026884667927
Salmonellosis,2017,3,2017-03-01,27,2401,7.784057002639929,7.508394342979477,1822.2836230731914
Salmonellosis,2017,4,2017-04-01,28,1426,7.2633296174768365,7.335258369365893,1532.423918529444
Salmonellosis,2017,5,2017-05-01,29,1187,7.080026499922591,7.13040536887282,1248.3833253856715
Salmonellosis,2017,6,2017-06-01,30,1112,7.014814351275545,6.92795797269518,1019.408149383187
Salmonellosis,2017,7,2017-07-01,31,832,6.725033642166843,6.80510038120204,901.43835322853
Salmonellosis,2017,8,2017-08-01,32,781,6.661854740545311,6.725218656657624,832.1541313286459
Salmonellosis,2017,9,2017-09-01,33,890,6.792344427470809,6.781646595007563,880.5190345845434
Salmonellosis,2017,10,2017-10-01,34,1086,6.99117688712121,6.952041275202126,1044.2812586325306
Salmonellosis,2017,11,2017-11-01,35,1106,7.009408932708637,7.144708515391824,1266.3818490639258
Salmonellosis,2017,12,2017-12-01,36,1457,7.284820912568604,7.348543647163986,1552.9318061276676
Salmonellosis,2018,1,2018-01-01,37,1460,7.2868764117507,7.342030337485943,1542.84345699181
Salmonellosis,2018,2,2018-02-01,38,1531,7.3343293503005365,7.454141519933085,1726.0007629652923
Salmonellosis,2018,3,2018-03-01,39,1777,7.48324441607385,7.4334134509153875,1690.571827172934
Salmonellosis,2018,4,2018-04-01,40,1269,7.146772179452637,7.259295442392074,1420.2548284596671
Salmonellosis,2018,5,2018-05-01,41,1098,7.002155954403621,7.053513542799933,1155.9164856706902
Salmonellosis,2018,6,2018-06-01,42,1086,6.99117688712121,6.850163623134553,943.035360059902
Salmonellosis,2018,7,2018-07-01,43,811,6.699500340161678,6.7264005459117175,833.1394093735421
Salmonellosis,2018,8,2018-08-01,44,919,6.824373670043086,6.64557998551473,768.3761452740216
Salmonellosis,2018,9,2018-09-01,45,713,6.570882962339584,6.701005837096103,812.2233841802508
Salmonellosis,2018,10,2018-10-01,46,874,6.774223886357614,6.870307078207795,962.2443117380426
Salmonellosis,2018,11,2018-11-01,47,1245,7.1276936993473985,7.061764113784921,1165.5011925408983
Salmonellosis,2018,12,2018-12-01,48,1110,7.01301578963963,7.264249901142538,1427.313849255233
Salmonellosis,2019,1,2019-01-01,49,1399,7.24422751560335,7.256228588936283,1415.9027252200506
Salmonellosis,2019,2,2019-02-01,50,1599,7.3777589082278725,7.366655867029746,1581.3333921115398
Salmonellosis,2019,3,2019-03-01,51,1738,7.461065514354283,7.344052295008435,1545.9682008683415
Salmonellosis,2019,4,2019-04-01,52,1240,7.123672785204607,7.167852488966525,1296.0561673473
Salmonellosis,2019,5,2019-05-01,53,1347,7.206377291472252,6.959768781584216,1052.3899659228823
Salmonellosis,2019,6,2019-06-01,54,789,6.672032945461067,6.753885099649656,856.3833198617597
Salmonellosis,2019,7,2019-07-01,55,799,6.684611727667927,6.627347899262019,754.4759131924145
Salmonellosis,2019,8,2019-08-01,56,938,6.844815479208263,6.543510712407493,693.7212683636656
Salmonellosis,2019,9,2019-09-01,57,832,6.725033642166843,6.59568502478071,730.9301052569489
Salmonellosis,2019,10,2019-10-01,58,1102,7.005789019253503,6.761520938794809,862.955220032494
Salmonellosis,2019,11,2019-11-01,59,1455,7.283448228756631,6.949337094924358,1041.4584480826952
Salmonellosis,2019,12,2019-12-01,60,1211,7.10002716662926,7.148064520114589,1270.642333639373
Salmonellosis,2020,1,2020-01-01,61,1982,7.592366128519796,7.136246535801158,1255.702537506142
Salmonellosis,2020,2,2020-02-01,62,2428,7.795234929002173,7.242938449425692,1397.1964700357598
Salmonellosis,2020,3,2020-03-01,63,1221,7.108244139731541,7.216778042028102,1361.0933755446515
Salmonellosis,2020,4,2020-04-01,64,752,6.6240652277998935,7.0373297554914656,1137.3438881850159
Salmonellosis,2020,5,2020-05-01,65,980,6.8885724595653635,6.826441518301816,920.9043887128767
Salmonellosis,2020,6,2020-06-01,66,648,6.47543271670409,6.618330552282319,747.6941474691746
Salmonellosis,2020,7,2020-07-01,67,571,6.349138991379798,6.490265803437306,657.6984242535916
Salmonellosis,2020,8,2020-08-01,68,428,6.061456918928017,6.405704453161959,604.2880456030397
Salmonellosis,2020,9,2020-09-01,69,498,6.212606095751519,6.458036107557507,636.8072409727355
Salmonellosis,2020,10,2020-10-01,70,713,6.570882962339584,6.624958847562508,752.6731964272653
Salmonellosis,2020,11,2020-11-01,71,649,6.476972362889683,6.814807088206399,910.2407097474751
Salmonellosis,2020,12,2020-12-01,72,917,6.822197390620491,7.016496069740283,1113.8733274143967
Salmonellosis,2021,1,2021-01-01,73,1721,7.451241684987676,7.00852492672429,1105.0218377896515
Salmonellosis,2021,2,2021-02-01,74,1111,7.013915474810528,7.119881564191605,1235.3040021305337
Salmonellosis,2021,3,2021-03-01,75,1194,7.085901464365611,7.099119628910664,1209.9005632506817
Salmonellosis,2021,4,2021-04-01,76,1162,7.0587581525186645,6.925709636849662,1017.116506320849
Salmonellosis,2021,5,2021-05-01,77,708,6.5638555265321274,6.721402362093003,828.9806291070049
Salmonellosis,2021,6,2021-06-01,78,558,6.326149473155099,6.520320125730948,677.7956505152862
Salmonellosis,2021,7,2021-07-01,79,577,6.359573868672378,6.39964314887059,600.6303071063244
Salmonellosis,2021,8,2021-08-01,80,394,5.978885764901122,6.322748226801199,556.101933014688
Salmonellosis,2021,9,2021-09-01,81,477,6.169610732491456,6.382953409245856,590.6725809988593
Salmonellosis,2021,10,2021-10-01,82,844,6.739336627357174,6.557893202289608,703.785289333675
Salmonellosis,2021,11,2021-11-01,83,1005,6.913737350659685,6.755844739748324,858.0651299283062
Salmonellosis,2021,12,2021-12-01,84,1038,6.946013991099227,6.965670310733849,1058.6249574086696
Salmonellosis,2022,1,2022-01-01,85,924,6.829793737512425,6.965818712080207,1058.7822188475998
Salmonellosis,2022,2,2022-02-01,86,1110,7.01301578963963,7.085229045080975,1193.1967290525647
Salmonellosis,2022,3,2022-03-01,87,1175,7.069874128458572,7.0724074425162895,1177.9829541163701
Salmonellosis,2022,4,2022-04-01,88,1187,7.080026499922591,6.906778772659147,998.023970304154
Salmonellosis,2022,5,2022-05-01,89,767,6.643789733147672,6.710051220463993,819.6126705359366
Salmonellosis,2022,6,2022-06-01,90,630,6.447305862541213,6.516309046019692,675.0784002502177
Salmonellosis,2022,7,2022-07-01,91,623,6.436150368369428,6.402700292631565,602.4723917702302
Salmonellosis,2022,8,2022-08-01,92,545,6.302618975744905,6.332576342744676,561.604189522785
Salmonellosis,2022,9,2022-09-01,93,694,6.543911845564792,6.3992367562222165,600.3858586468705
Salmonellosis,2022,10,2022-10-01,94,690,6.53813982376767,6.580303814735519,719.7582729723874
Salmonellosis,2022,11,2022-11-01,95,791,6.674561391814426,6.784047302762896,882.6378464737821
Salmonellosis,2022,12,2022-12-01,96,989,6.897704943128636,6.9993251491285395,1094.893344246021
Salmonellosis,2023,1,2023-01-01,97,1154,7.051855622955894,7.004582738440519,1100.6702744357378
Salmonellosis,2023,2,2023-02-01,98,1165,7.061334366910438,7.128754885631411,1246.322939928584
Salmonellosis,2023,3,2023-03-01,99,1343,7.203405521083095,7.120341291218634,1235.8724951597299
Salmonellosis,2023,4,2023-04-01,100,925,6.8308742346461795,6.958757748926367,1051.3254924652717
Salmonellosis,2023,5,2023-05-01,101,797,6.682108597449809,6.765701082884781,866.5742360740021
Salmonellosis,2023,6,2023-06-01,102,804,6.690842277418564,6.57524303323747,716.1198871431828
Salmonellosis,2023,7,2023-07-01,103,730,6.594413459749778,6.464519644691542,640.955922436193
Salmonellosis,2023,8,2023-08-01,104,649,6.476972362889683,6.396872749990781,598.9658578362236
Salmonellosis,2023,9,2023-09-01,105,858,6.755768921984255,6.465596652033914,641.6476861285563
Salmonellosis,2023,10,2023-10-01,106,814,6.703188113240863,6.648314138758942,770.4826159522016
Salmonellosis,2023,11,2023-11-01,107,843,6.7381524945959574,6.853302166579399,946.0029105079477
Salmonellosis,2023,12,2023-12-01,108,1116,7.018401799069201,7.06943276737009,1174.4810738852664
Salmonellosis,2024,1,2024-01-01,109,1162,7.0587581525186645,7.075172047286804,1181.2468856771945
Salmonellosis,2024,2,2024-02-01,110,1325,7.189922170745808,7.199481431129541,1337.7363573603652
Salmonellosis,2024,3,2024-03-01,111,1638,7.40184157874383,7.190892183822003,1326.2868613743112
Salmonellosis,2024,4,2024-04-01,112,1115,7.017506142941256,7.028855689213522,1127.7382435456511
Salmonellosis,2024,5,2024-05-01,113,1106,7.009408932708637,6.835107610383296,928.9284152946535
Salmonellosis,2024,6,2024-06-01,114,757,6.630683385642372,6.643761194703814,766.9780827878603
Salmonellosis,2024,7,2024-07-01,115,697,6.548219102762372,6.531996203593235,685.7677723707709
Salmonellosis,2024,8,2024-08-01,116,761,6.635946555686647,6.463199876918692,640.1092485275344
Salmonellosis,2024,9,2024-09-01,117,679,6.522092798170152,6.530712783312747,684.8869260526477
Salmonellosis,2024,10,2024-10-01,118,784,6.665683717782408,6.712203421179242,821.3806956023601
Salmonellosis,2024,11,2024-11-01,119,1077,6.982862751468942,6.91599167691733,1007.2704103765391
Salmonellosis,2024,12,2024-12-01,120,940,6.846943139585379,7.1309865514535336,1249.1096562559999
