disease_group,disease,year,count
Bloodborne diseases,Hepatitis C (unspecified),2024,6561
Bloodborne diseases,Hepatitis C (unspecified),2023,6700
Bloodborne diseases,Hepatitis C (unspecified),2022,6169
Bloodborne diseases,Hepatitis C (unspecified),2021,6792
Bloodborne diseases,Hepatitis C (unspecified),2020,7367
Bloodborne diseases,Hepatitis C (unspecified),2019,8431
Bloodborne diseases,Hepatitis C (unspecified),2018,10920
Bloodborne diseases,Hepatitis C (unspecified),2017,9650
Bloodborne diseases,Hepatitis C (unspecified),2016,10542
Bloodborne diseases,Hepatitis C (unspecified),2015,9501
Bloodborne diseases,Hepatitis C (unspecified),2014,9623
Bloodborne diseases,Hepatitis C (unspecified),2013,9813
Bloodborne diseases,Hepatitis C (unspecified),2012,9221
Bloodborne diseases,Hepatitis C (unspecified),2011,9372
Bloodborne diseases,Hepatitis C (unspecified),2010,10545
Bloodborne diseases,Hepatitis C (unspecified),2009,10551
Bloodborne diseases,Hepatitis C (unspecified),2008,10250
Bloodborne diseases,Hepatitis C (unspecified),2007,11084
Bloodborne diseases,Hepatitis C (unspecified),2006,11305
Bloodborne diseases,Hepatitis C (unspecified),2005,11267
Bloodborne diseases,Hepatitis C (unspecified),2004,11901
Bloodborne diseases,Hepatitis C (unspecified),2003,13518
Bloodborne diseases,Hepatitis C (unspecified),2002,14096
Bloodborne diseases,Hepatitis C (unspecified),2001,16714
Bloodborne diseases,Hepatitis C (unspecified),2000,17676
Bloodborne diseases,Hepatitis C (unspecified),1999,17883
Bloodborne diseases,Hepatitis C (unspecified),1998,16326
Bloodborne diseases,Hepatitis C (unspecified),1997,17730
Bloodborne diseases,Hepatitis C (unspecified),1996,17878
Bloodborne diseases,Hepatitis C (unspecified),1995,17899
Bloodborne diseases,Hepatitis C (unspecified),1994,0
Bloodborne diseases,Hepatitis C (unspecified),1993,0
Bloodborne diseases,Hepatitis C (unspecified),1992,0
Bloodborne diseases,Hepatitis C (unspecified),1991,0
Bloodborne diseases,Hepatitis D,2026,6
Bloodborne diseases,Hepatitis D,2025,135
Bloodborne diseases,Hepatitis D,2024,121
Bloodborne diseases,Hepatitis D,2023,85
Bloodborne diseases,Hepatitis D,2022,71
Bloodborne diseases,Hepatitis D,2021,85
Bloodborne diseases,Hepatitis D,2020,75
Bloodborne diseases,Hepatitis D,2019,70
Bloodborne diseases,Hepatitis D,2018,78
Bloodborne diseases,Hepatitis D,2017,65
Bloodborne diseases,Hepatitis D,2016,71
Bloodborne diseases,Hepatitis D,2015,49
Bloodborne diseases,Hepatitis D,2014,65
Bloodborne diseases,Hepatitis D,2013,73
Bloodborne diseases,Hepatitis D,2012,47
Bloodborne diseases,Hepatitis D,2011,53
Bloodborne diseases,Hepatitis D,2010,52
Bloodborne diseases,Hepatitis D,2009,65
Bloodborne diseases,Hepatitis D,2008,69
Bloodborne diseases,Hepatitis D,2007,57
Bloodborne diseases,Hepatitis D,2006,40
Bloodborne diseases,Hepatitis D,2005,38
Bloodborne diseases,Hepatitis D,2004,29
Bloodborne diseases,Hepatitis D,2003,26
Bloodborne diseases,Hepatitis D,2002,22
Bloodborne diseases,Hepatitis D,2001,23
Bloodborne diseases,Hepatitis D,2000,27
Bloodborne diseases,Hepatitis D,1999,22
Bloodborne diseases,Hepatitis D,1998,0
Bloodborne diseases,Hepatitis D,1997,0
Bloodborne diseases,Hepatitis D,1996,0
Bloodborne diseases,Hepatitis D,1995,0
Bloodborne diseases,Hepatitis D,1994,0
Bloodborne diseases,Hepatitis D,1993,0
Bloodborne diseases,Hepatitis D,1992,0
Bloodborne diseases,Hepatitis D,1991,0
Gastrointestinal diseases,Botulism,2026,0
Gastrointestinal diseases,Botulism,2025,1
Gastrointestinal diseases,Botulism,2024,3
Gastrointestinal diseases,Botulism,2023,1
Gastrointestinal diseases,Botulism,2022,3
Gastrointestinal diseases,Botulism,2021,5
Gastrointestinal diseases,Botulism,2020,1
Gastrointestinal diseases,Botulism,2019,2
Gastrointestinal diseases,Botulism,2018,0
Gastrointestinal diseases,Botulism,2017,2
Gastrointestinal diseases,Botulism,2016,0
Gastrointestinal diseases,Botulism,2015,3
Gastrointestinal diseases,Botulism,2014,1
Gastrointestinal diseases,Botulism,2013,4
Gastrointestinal diseases,Botulism,2012,0
Gastrointestinal diseases,Botulism,2011,2
Gastrointestinal diseases,Botulism,2010,0
Gastrointestinal diseases,Botulism,2009,1
Gastrointestinal diseases,Botulism,2008,0
Gastrointestinal diseases,Botulism,2007,1
Gastrointestinal diseases,Botulism,2006,1
Gastrointestinal diseases,Botulism,2005,3
Gastrointestinal diseases,Botulism,2004,1
Gastrointestinal diseases,Botulism,2003,1
Gastrointestinal diseases,Botulism,2002,0
Gastrointestinal diseases,Botulism,2001,2
Gastrointestinal diseases,Botulism,2000,2
Gastrointestinal diseases,Botulism,1999,1
Gastrointestinal diseases,Botulism,1998,1
Gastrointestinal diseases,Botulism,1997,0
Gastrointestinal diseases,Botulism,1996,0
Gastrointestinal diseases,Botulism,1995,0
Gastrointestinal diseases,Botulism,1994,0
Gastrointestinal diseases,Botulism,1993,0
