disease_group,disease,year,count
Gastrointestinal diseases,Salmonellosis,2009,9396
Gastrointestinal diseases,Salmonellosis,2008,8207
Gastrointestinal diseases,Salmonellosis,2007,9380
Gastrointestinal diseases,Salmonellosis,2006,8124
Gastrointestinal diseases,Salmonellosis,2005,8265
Gastrointestinal diseases,Salmonellosis,2004,7747
Gastrointestinal diseases,Salmonellosis,2003,6869
Gastrointestinal diseases,Salmonellosis,2002,8008
Gastrointestinal diseases,Salmonellosis,2001,6823
Gastrointestinal diseases,Salmonellosis,2000,6297
Gastrointestinal diseases,Salmonellosis,1999,6957
Gastrointestinal diseases,Salmonellosis,1998,7563
Gastrointestinal diseases,Salmonellosis,1997,6941
Gastrointestinal diseases,Salmonellosis,1996,5720
Gastrointestinal diseases,Salmonellosis,1995,5752
Gastrointestinal diseases,Salmonellosis,1994,5185
Gastrointestinal diseases,Salmonellosis,1993,4606
Gastrointestinal diseases,Salmonellosis,1992,4436
Gastrointestinal diseases,Salmonellosis,1991,5492
Gastrointestinal diseases,Shigellosis,2026,286
Gastrointestinal diseases,Shigellosis,2025,2876
Gastrointestinal diseases,Shigellosis,2024,2967
Gastrointestinal diseases,Shigellosis,2023,2915
Gastrointestinal diseases,Shigellosis,2022,1406
Gastrointestinal diseases,Shigellosis,2021,468
Gastrointestinal diseases,Shigellosis,2020,1598
Gastrointestinal diseases,Shigellosis,2019,3152
Gastrointestinal diseases,Shigellosis,2018,2507
Gastrointestinal diseases,Shigellosis,2017,1752
Gastrointestinal diseases,Shigellosis,2016,1414
Gastrointestinal diseases,Shigellosis,2015,1037
Gastrointestinal diseases,Shigellosis,2014,1034
Gastrointestinal diseases,Shigellosis,2013,537
Gastrointestinal diseases,Shigellosis,2012,548
Gastrointestinal diseases,Shigellosis,2011,493
Gastrointestinal diseases,Shigellosis,2010,553
Gastrointestinal diseases,Shigellosis,2009,617
Gastrointestinal diseases,Shigellosis,2008,830
Gastrointestinal diseases,Shigellosis,2007,594
Gastrointestinal diseases,Shigellosis,2006,530
Gastrointestinal diseases,Shigellosis,2005,718
Gastrointestinal diseases,Shigellosis,2004,531
Gastrointestinal diseases,Shigellosis,2003,449
Gastrointestinal diseases,Shigellosis,2002,507
Gastrointestinal diseases,Shigellosis,2001,561
Gastrointestinal diseases,Shigellosis,2000,488
Gastrointestinal diseases,Shigellosis,1999,532
Gastrointestinal diseases,Shigellosis,1998,586
Gastrointestinal diseases,Shigellosis,1997,804
Gastrointestinal diseases,Shigellosis,1996,660
Gastrointestinal diseases,Shigellosis,1995,722
Gastrointestinal diseases,Shigellosis,1994,723
Gastrointestinal diseases,Shigellosis,1993,676
Gastrointestinal diseases,Shigellosis,1992,693
Gastrointestinal diseases,Shigellosis,1991,916
Gastrointestinal diseases,STEC,2026,99
Gastrointestinal diseases,STEC,2025,971
Gastrointestinal diseases,STEC,2024,1015
Gastrointestinal diseases,STEC,2023,926
Gastrointestinal diseases,STEC,2022,844
Gastrointestinal diseases,STEC,2021,624
Gastrointestinal diseases,STEC,2020,575
Gastrointestinal diseases,STEC,2019,658
Gastrointestinal diseases,STEC,2018,564
Gastrointestinal diseases,STEC,2017,497
Gastrointestinal diseases,STEC,2016,343
Gastrointestinal diseases,STEC,2015,138
Gastrointestinal diseases,STEC,2014,115
Gastrointestinal diseases,STEC,2013,179
Gastrointestinal diseases,STEC,2012,112
Gastrointestinal diseases,STEC,2011,95
Gastrointestinal diseases,STEC,2010,80
Gastrointestinal diseases,STEC,2009,128
Gastrointestinal diseases,STEC,2008,98
Gastrointestinal diseases,STEC,2007,106
Gastrointestinal diseases,STEC,2006,65
Gastrointestinal diseases,STEC,2005,86
Gastrointestinal diseases,STEC,2004,49
Gastrointestinal diseases,STEC,2003,51
Gastrointestinal diseases,STEC,2002,59
Gastrointestinal diseases,STEC,2001,45
Gastrointestinal diseases,STEC,2000,37
Gastrointestinal diseases,STEC,1999,46
Gastrointestinal diseases,STEC,1998,0
Gastrointestinal diseases,STEC,1997,0
Gastrointestinal diseases,STEC,1996,0
Gastrointestinal diseases,STEC,1995,0
Gastrointestinal diseases,STEC,1994,0
Gastrointestinal diseases,STEC,1993,0
Gastrointestinal diseases,STEC,1992,0
Gastrointestinal diseases,STEC,1991,0
Gastrointestinal diseases,Typhoid Fever,2026,24
Gastrointestinal diseases,Typhoid Fever,2025,229
Gastrointestinal diseases,Typhoid Fever,2024,241
Gastrointestinal diseases,Typhoid Fever,2023,289
Gastrointestinal diseases,Typhoid Fever,2022,179
Gastrointestinal diseases,Typhoid Fever,2021,15
Gastrointestinal diseases,Typhoid Fever,2020,87
Gastrointestinal diseases,Typhoid Fever,2019,202
Gastrointestinal diseases,Typhoid Fever,2018,176
Gastrointestinal diseases,Typhoid Fever,2017,145
Gastrointestinal diseases,Typhoid Fever,2016,104
Gastrointestinal diseases,Typhoid Fever,2015,114
Gastrointestinal diseases,Typhoid Fever,2014,117
Gastrointestinal diseases,Typhoid Fever,2013,150
Gastrointestinal diseases,Typhoid Fever,2012,122
Gastrointestinal diseases,Typhoid Fever,2011,135
Gastrointestinal diseases,Typhoid Fever,2010,96
Gastrointestinal diseases,Typhoid Fever,2009,115
Gastrointestinal diseases,Typhoid Fever,2008,106
Gastrointestinal diseases,Typhoid Fever,2007,89
Gastrointestinal diseases,Typhoid Fever,2006,77
Gastrointestinal diseases,Typhoid Fever,2005,51
Gastrointestinal diseases,Typhoid Fever,2004,74
Gastrointestinal diseases,Typhoid Fever,2003,49
Gastrointestinal diseases,Typhoid Fever,2002,71
Gastrointestinal diseases,Typhoid Fever,2001,73
Gastrointestinal diseases,Typhoid Fever,2000,58
Gastrointestinal diseases,Typhoid Fever,1999,62
Gastrointestinal diseases,Typhoid Fever,1998,57
Gastrointestinal diseases,Typhoid Fever,1997,71
Gastrointestinal diseases,Typhoid Fever,1996,66
Gastrointestinal diseases,Typhoid Fever,1995,48
Gastrointestinal diseases,Typhoid Fever,1994,52
Gastrointestinal diseases,Typhoid Fever,1993,44
Gastrointestinal diseases,Typhoid Fever,1992,42
Gastrointestinal diseases,Typhoid Fever,1991,74
Gastrointestinal diseases,Vibrio parahaemolyticus infection,2026,23
Gastrointestinal diseases,Vibrio parahaemolyticus infection,2025,100
Gastrointestinal diseases,Vibrio parahaemolyticus infection,2024,1
Gastrointestinal diseases,Vibrio parahaemolyticus infection,2023,0
Gastrointestinal diseases,Vibrio parahaemolyticus infection,2022,1
Gastrointestinal diseases,Vibrio parahaemolyticus infection,2021,0
Gastrointestinal diseases,Vibrio parahaemolyticus infection,2020,0
Gastrointestinal diseases,Vibrio parahaemolyticus infection,2019,0
Gastrointestinal diseases,Vibrio parahaemolyticus infection,2018,0
Gastrointestinal diseases,Vibrio parahaemolyticus infection,2017,0
Gastrointestinal diseases,Vibrio parahaemolyticus infection,2016,0
Gastrointestinal diseases,Vibrio parahaemolyticus infection,2015,0
Gastrointestinal diseases,Vibrio parahaemolyticus infection,2014,0
Gastrointestinal diseases,Vibrio parahaemolyticus infection,2013,0
Gastrointestinal diseases,Vibrio parahaemolyticus infection,2012,0
Gastrointestinal diseases,Vibrio parahaemolyticus infection,2011,0
Gastrointestinal diseases,Vibrio parahaemolyticus infection,2010,0
Gastrointestinal diseases,Vibrio parahaemolyticus infection,2009,0
Gastrointestinal diseases,Vibrio parahaemolyticus infection,2008,0
Gastrointestinal diseases,Vibrio parahaemolyticus infection,2007,0
Gastrointestinal diseases,Vibrio parahaemolyticus infection,2006,0
Gastrointestinal diseases,Vibrio parahaemolyticus infection,2005,0
Gastrointestinal diseases,Vibrio parahaemolyticus infection,2004,0
Gastrointestinal diseases,Vibrio parahaemolyticus infection,2003,0
Gastrointestinal diseases,Vibrio parahaemolyticus infection,2002,0
Gastrointestinal diseases,Vibrio parahaemolyticus infection,2001,0
Gastrointestinal diseases,Vibrio parahaemolyticus infection,2000,0
Gastrointestinal diseases,Vibrio parahaemolyticus infection,1999,0
Gastrointestinal diseases,Vibrio parahaemolyticus infection,1998,0
Gastrointestinal diseases,Vibrio parahaemolyticus infection,1997,0
Gastrointestinal diseases,Vibrio parahaemolyticus infection,1996,0
Gastrointestinal diseases,Vibrio parahaemolyticus infection,1995,0
Gastrointestinal diseases,Vibrio parahaemolyticus infection,1994,0
Gastrointestinal diseases,Vibrio parahaemolyticus infection,1993,0
Gastrointestinal diseases,Vibrio parahaemolyticus infection,1992,0
Gastrointestinal diseases,Vibrio parahaemolyticus infection,1991,0
Other notifiable diseases,Hepatitis (NEC),2026,0
Other notifiable diseases,Hepatitis (NEC),2025,0
Other notifiable diseases,Hepatitis (NEC),2024,0
Other notifiable diseases,Hepatitis (NEC),2023,1
Other notifiable diseases,Hepatitis (NEC),2022,0
Other notifiable diseases,Hepatitis (NEC),2021,0
Other notifiable diseases,Hepatitis (NEC),2020,0
Other notifiable diseases,Hepatitis (NEC),2019,0
Other notifiable diseases,Hepatitis (NEC),2018,0
Other notifiable diseases,Hepatitis (NEC),2017,0
Other notifiable diseases,Hepatitis (NEC),2016,0
Other notifiable diseases,Hepatitis (NEC),2015,0
Other notifiable diseases,Hepatitis (NEC),2014,0
Other notifiable diseases,Hepatitis (NEC),2013,0
Other notifiable diseases,Hepatitis (NEC),2012,0
Other notifiable diseases,Hepatitis (NEC),2011,0
Other notifiable diseases,Hepatitis (NEC),2010,0
Other notifiable diseases,Hepatitis (NEC),2009,0
Other notifiable diseases,Hepatitis (NEC),2008,0
Other notifiable diseases,Hepatitis (NEC),2007,0
Other notifiable diseases,Hepatitis (NEC),2006,1
Other notifiable diseases,Hepatitis (NEC),2005,0
Other notifiable diseases,Hepatitis (NEC),2004,0
Other notifiable diseases,Hepatitis (NEC),2003,0
Other notifiable diseases,Hepatitis (NEC),2002,0
Other notifiable diseases,Hepatitis (NEC),2001,3
Other notifiable diseases,Hepatitis (NEC),2000,1
Other notifiable diseases,Hepatitis (NEC),1999,0
Other notifiable diseases,Hepatitis (NEC),1998,4
Other notifiable diseases,Hepatitis (NEC),1997,5
Other notifiable diseases,Hepatitis (NEC),1996,15
Other notifiable diseases,Hepatitis (NEC),1995,11
Other notifiable diseases,Hepatitis (NEC),1994,7
Other notifiable diseases,Hepatitis (NEC),1993,16
Other notifiable diseases,Hepatitis (NEC),1992,29
Other notifiable diseases,Hepatitis (NEC),1991,83
Other notifiable diseases,Invasive Group A Streptococcal disease (iGAS),2026,161
Other notifiable diseases,Invasive Group A Streptococcal disease (iGAS),2025,1826
Other notifiable diseases,Invasive Group A Streptococcal disease (iGAS),2024,1828
Other notifiable diseases,Invasive Group A Streptococcal disease (iGAS),2023,2801
Other notifiable diseases,Invasive Group A Streptococcal disease (iGAS),2022,1161
Other notifiable diseases,Invasive Group A Streptococcal disease (iGAS),2021,247
Other notifiable diseases,Invasive Group A Streptococcal disease (iGAS),2020,0
Other notifiable diseases,Invasive Group A Streptococcal disease (iGAS),2019,0
Other notifiable diseases,Invasive Group A Streptococcal disease (iGAS),2018,0
Other notifiable diseases,Invasive Group A Streptococcal disease (iGAS),2017,0
Other notifiable diseases,Invasive Group A Streptococcal disease (iGAS),2016,0
Other notifiable diseases,Invasive Group A Streptococcal disease (iGAS),2015,0
Other notifiable diseases,Invasive Group A Streptococcal disease (iGAS),2014,0
Other notifiable diseases,Invasive Group A Streptococcal disease (iGAS),2013,0
Other notifiable diseases,Invasive Group A Streptococcal disease (iGAS),2012,0
Other notifiable diseases,Invasive Group A Streptococcal disease (iGAS),2011,0
Other notifiable diseases,Invasive Group A Streptococcal disease (iGAS),2010,0
Other notifiable diseases,Invasive Group A Streptococcal disease (iGAS),2009,0
Other notifiable diseases,Invasive Group A Streptococcal disease (iGAS),2008,0
Other notifiable diseases,Invasive Group A Streptococcal disease (iGAS),2007,0
Other notifiable diseases,Invasive Group A Streptococcal disease (iGAS),2006,0
Other notifiable diseases,Invasive Group A Streptococcal disease (iGAS),2005,0
Other notifiable diseases,Invasive Group A Streptococcal disease (iGAS),2004,0
Other notifiable diseases,Invasive Group A Streptococcal disease (iGAS),2003,0
Other notifiable diseases,Invasive Group A Streptococcal disease (iGAS),2002,0
Other notifiable diseases,Invasive Group A Streptococcal disease (iGAS),2001,0
Other notifiable diseases,Invasive Group A Streptococcal disease (iGAS),2000,0
Other notifiable diseases,Invasive Group A Streptococcal disease (iGAS),1999,0
Other notifiable diseases,Invasive Group A Streptococcal disease (iGAS),1998,0
Other notifiable diseases,Invasive Group A Streptococcal disease (iGAS),1997,0
Other notifiable diseases,Invasive Group A Streptococcal disease (iGAS),1996,0
Other notifiable diseases,Invasive Group A Streptococcal disease (iGAS),1995,0
Other notifiable diseases,Invasive Group A Streptococcal disease (iGAS),1994,0
Other notifiable diseases,Invasive Group A Streptococcal disease (iGAS),1993,0
Other notifiable diseases,Invasive Group A Streptococcal disease (iGAS),1992,0
Other notifiable diseases,Invasive Group A Streptococcal disease (iGAS),1991,0
Other notifiable diseases,Leprosy,2026,1
Other notifiable diseases,Leprosy,2025,22
Other notifiable diseases,Leprosy,2024,10
Other notifiable diseases,Leprosy,2023,8
Other notifiable diseases,Leprosy,2022,9
Other notifiable diseases,Leprosy,2021,13
Other notifiable diseases,Leprosy,2020,6
Other notifiable diseases,Leprosy,2019,10
Other notifiable diseases,Leprosy,2018,7
Other notifiable diseases,Leprosy,2017,9
Other notifiable diseases,Leprosy,2016,21
Other notifiable diseases,Leprosy,2015,13
Other notifiable diseases,Leprosy,2014,10
Other notifiable diseases,Leprosy,2013,14
Other notifiable diseases,Leprosy,2012,9
Other notifiable diseases,Leprosy,2011,9
Other notifiable diseases,Leprosy,2010,10
Other notifiable diseases,Leprosy,2009,6
Other notifiable diseases,Leprosy,2008,11
Other notifiable diseases,Leprosy,2007,13
Other notifiable diseases,Leprosy,2006,7
Other notifiable diseases,Leprosy,2005,11
Other notifiable diseases,Leprosy,2004,6
Other notifiable diseases,Leprosy,2003,8
Other notifiable diseases,Leprosy,2002,9
Other notifiable diseases,Leprosy,2001,3
Other notifiable diseases,Leprosy,2000,4
Other notifiable diseases,Leprosy,1999,7
Other notifiable diseases,Leprosy,1998,3
Other notifiable diseases,Leprosy,1997,15
Other notifiable diseases,Leprosy,1996,8
Other notifiable diseases,Leprosy,1995,10
Other notifiable diseases,Leprosy,1994,12
Other notifiable diseases,Leprosy,1993,15
Other notifiable diseases,Leprosy,1992,16
Other notifiable diseases,Leprosy,1991,15
Respiratory diseases,COVID-19,2026,6758
Respiratory diseases,COVID-19,2025,185698
Respiratory diseases,COVID-19,2024,341894
Respiratory diseases,COVID-19,2023,864416
Respiratory diseases,COVID-19,2022,10295709
Respiratory diseases,COVID-19,2021,538655
Respiratory diseases,COVID-19,2020,28177
Respiratory diseases,COVID-19,2019,0
Respiratory diseases,COVID-19,2018,0
Respiratory diseases,COVID-19,2017,0
Respiratory diseases,COVID-19,2016,0
Respiratory diseases,COVID-19,2015,0
Respiratory diseases,COVID-19,2014,0
Respiratory diseases,COVID-19,2013,0
Respiratory diseases,COVID-19,2012,0
Respiratory diseases,COVID-19,2011,0
Respiratory diseases,COVID-19,2010,0
Respiratory diseases,COVID-19,2009,0
Respiratory diseases,COVID-19,2008,0
Respiratory diseases,COVID-19,2007,0
Respiratory diseases,COVID-19,2006,0
Respiratory diseases,COVID-19,2005,0
Respiratory diseases,COVID-19,2004,0
Respiratory diseases,COVID-19,2003,0
Respiratory diseases,COVID-19,2002,0
Respiratory diseases,COVID-19,2001,0
Respiratory diseases,COVID-19,2000,0
Respiratory diseases,COVID-19,1999,0
Respiratory diseases,COVID-19,1998,0
Respiratory diseases,COVID-19,1997,0
Respiratory diseases,COVID-19,1996,0
Respiratory diseases,COVID-19,1995,0
Respiratory diseases,COVID-19,1994,0
Respiratory diseases,COVID-19,1993,0
Respiratory diseases,COVID-19,1992,0
Respiratory diseases,COVID-19,1991,0
Respiratory diseases,Influenza (laboratory confirmed),2026,14243
Respiratory diseases,Influenza (laboratory confirmed),2025,502913
Respiratory diseases,Influenza (laboratory confirmed),2024,365628
Respiratory diseases,Influenza (laboratory confirmed),2023,289153
Respiratory diseases,Influenza (laboratory confirmed),2022,233452
Respiratory diseases,Influenza (laboratory confirmed),2021,752
Respiratory diseases,Influenza (laboratory confirmed),2020,21357
Respiratory diseases,Influenza (laboratory confirmed),2019,313463
Respiratory diseases,Influenza (laboratory confirmed),2018,58869
Respiratory diseases,Influenza (laboratory confirmed),2017,251259
Respiratory diseases,Influenza (laboratory confirmed),2016,90868
Respiratory diseases,Influenza (laboratory confirmed),2015,100565
Respiratory diseases,Influenza (laboratory confirmed),2014,67692
Respiratory diseases,Influenza (laboratory confirmed),2013,28292
Respiratory diseases,Influenza (laboratory confirmed),2012,44545
Respiratory diseases,Influenza (laboratory confirmed),2011,27219
Respiratory diseases,Influenza (laboratory confirmed),2010,13425
Respiratory diseases,Influenza (laboratory confirmed),2009,59035
Respiratory diseases,Influenza (laboratory confirmed),2008,9173
Respiratory diseases,Influenza (laboratory confirmed),2007,10533
Respiratory diseases,Influenza (laboratory confirmed),2006,3313
Respiratory diseases,Influenza (laboratory confirmed),2005,4561
Respiratory diseases,Influenza (laboratory confirmed),2004,2065
Respiratory diseases,Influenza (laboratory confirmed),2003,3424
Respiratory diseases,Influenza (laboratory confirmed),2002,3730
Respiratory diseases,Influenza (laboratory confirmed),2001,1231
Respiratory diseases,Influenza (laboratory confirmed),2000,0
Respiratory diseases,Influenza (laboratory confirmed),1999,0
Respiratory diseases,Influenza (laboratory confirmed),1998,0
Respiratory diseases,Influenza (laboratory confirmed),1997,0
Respiratory diseases,Influenza (laboratory confirmed),1996,0
Respiratory diseases,Influenza (laboratory confirmed),1995,0
Respiratory diseases,Influenza (laboratory confirmed),1994,0
Respiratory diseases,Influenza (laboratory confirmed),1993,0
Respiratory diseases,Influenza (laboratory confirmed),1992,0
Respiratory diseases,Influenza (laboratory confirmed),1991,0
Respiratory diseases,Legionellosis,2026,50
Respiratory diseases,Legionellosis,2025,808
Respiratory diseases,Legionellosis,2024,846
Respiratory diseases,Legionellosis,2023,682
Respiratory diseases,Legionellosis,2022,687
Respiratory diseases,Legionellosis,2021,584
Respiratory diseases,Legionellosis,2020,528
Respiratory diseases,Legionellosis,2019,438
Respiratory diseases,Legionellosis,2018,448
Respiratory diseases,Legionellosis,2017,384
Respiratory diseases,Legionellosis,2016,368
Respiratory diseases,Legionellosis,2015,365
Respiratory diseases,Legionellosis,2014,424
Respiratory diseases,Legionellosis,2013,507
Respiratory diseases,Legionellosis,2012,381
Respiratory diseases,Legionellosis,2011,356
Respiratory diseases,Legionellosis,2010,307
Respiratory diseases,Legionellosis,2009,297
Respiratory diseases,Legionellosis,2008,272
Respiratory diseases,Legionellosis,2007,303
Respiratory diseases,Legionellosis,2006,345
Respiratory diseases,Legionellosis,2005,325
Respiratory diseases,Legionellosis,2004,311
Respiratory diseases,Legionellosis,2003,334
Respiratory diseases,Legionellosis,2002,317
Respiratory diseases,Legionellosis,2001,305
Respiratory diseases,Legionellosis,2000,474
Respiratory diseases,Legionellosis,1999,242
Respiratory diseases,Legionellosis,1998,268
Respiratory diseases,Legionellosis,1997,156
Respiratory diseases,Legionellosis,1996,208
Respiratory diseases,Legionellosis,1995,157
Respiratory diseases,Legionellosis,1994,176
Respiratory diseases,Legionellosis,1993,140
Respiratory diseases,Legionellosis,1992,189
Respiratory diseases,Legionellosis,1991,122
Respiratory diseases,Pertussis,2026,1114
Respiratory diseases,Pertussis,2025,25260
Respiratory diseases,Pertussis,2024,57257
Respiratory diseases,Pertussis,2023,2454
Respiratory diseases,Pertussis,2022,484
Respiratory diseases,Pertussis,2021,550
Respiratory diseases,Pertussis,2020,3458
Respiratory diseases,Pertussis,2019,12026
Respiratory diseases,Pertussis,2018,12581
Respiratory diseases,Pertussis,2017,12235
Respiratory diseases,Pertussis,2016,20117
Respiratory diseases,Pertussis,2015,22571
Respiratory diseases,Pertussis,2014,11891
Respiratory diseases,Pertussis,2013,12373
Respiratory diseases,Pertussis,2012,24091
Respiratory diseases,Pertussis,2011,38742
Respiratory diseases,Pertussis,2010,34822
Respiratory diseases,Pertussis,2009,30186
Respiratory diseases,Pertussis,2008,14293
Respiratory diseases,Pertussis,2007,4854
Respiratory diseases,Pertussis,2006,9759
Respiratory diseases,Pertussis,2005,11144
Respiratory diseases,Pertussis,2004,8724
Respiratory diseases,Pertussis,2003,5109
Respiratory diseases,Pertussis,2002,5573
Respiratory diseases,Pertussis,2001,9509
Respiratory diseases,Pertussis,2000,5993
Respiratory diseases,Pertussis,1999,4351
Respiratory diseases,Pertussis,1998,5649
Respiratory diseases,Pertussis,1997,10832
Respiratory diseases,Pertussis,1996,4561
Respiratory diseases,Pertussis,1995,4199
Respiratory diseases,Pertussis,1994,5468
Respiratory diseases,Pertussis,1993,4517
Respiratory diseases,Pertussis,1992,803
Respiratory diseases,Pertussis,1991,342
Respiratory diseases,Respiratory syncytial virus (RSV),2026,5818
Respiratory diseases,Respiratory syncytial virus (RSV),2025,177796
Respiratory diseases,Respiratory syncytial virus (RSV),2024,175990
Respiratory diseases,Respiratory syncytial virus (RSV),2023,128197
Respiratory diseases,Respiratory syncytial virus (RSV),2022,96039
Respiratory diseases,Respiratory syncytial virus (RSV),2021,1562
Respiratory diseases,Respiratory syncytial virus (RSV),2020,9
Respiratory diseases,Respiratory syncytial virus (RSV),2019,5
Respiratory diseases,Respiratory syncytial virus (RSV),2018,3
Respiratory diseases,Respiratory syncytial virus (RSV),2017,4
Respiratory diseases,Respiratory syncytial virus (RSV),2016,1
Respiratory diseases,Respiratory syncytial virus (RSV),2015,2
Respiratory diseases,Respiratory syncytial virus (RSV),2014,2
Respiratory diseases,Respiratory syncytial virus (RSV),2013,1
Respiratory diseases,Respiratory syncytial virus (RSV),2012,0
Respiratory diseases,Respiratory syncytial virus (RSV),2011,0
Respiratory diseases,Respiratory syncytial virus (RSV),2010,0
Respiratory diseases,Respiratory syncytial virus (RSV),2009,1
Respiratory diseases,Respiratory syncytial virus (RSV),2008,1
Respiratory diseases,Respiratory syncytial virus (RSV),2007,0
Respiratory diseases,Respiratory syncytial virus (RSV),2006,0
Respiratory diseases,Respiratory syncytial virus (RSV),2005,0
Respiratory diseases,Respiratory syncytial virus (RSV),2004,0
Respiratory diseases,Respiratory syncytial virus (RSV),2003,1
Respiratory diseases,Respiratory syncytial virus (RSV),2002,0
Respiratory diseases,Respiratory syncytial virus (RSV),2001,0
Respiratory diseases,Respiratory syncytial virus (RSV),2000,0
Respiratory diseases,Respiratory syncytial virus (RSV),1999,0
Respiratory diseases,Respiratory syncytial virus (RSV),1998,0
Respiratory diseases,Respiratory syncytial virus (RSV),1997,0
Respiratory diseases,Respiratory syncytial virus (RSV),1996,0
Respiratory diseases,Respiratory syncytial virus (RSV),1995,0
Respiratory diseases,Respiratory syncytial virus (RSV),1994,0
Respiratory diseases,Respiratory syncytial virus (RSV),1993,0
Respiratory diseases,Respiratory syncytial virus (RSV),1992,0
Respiratory diseases,Respiratory syncytial virus (RSV),1991,0
Respiratory diseases,Tuberculosis,2026,145
Respiratory diseases,Tuberculosis,2025,1628
Respiratory diseases,Tuberculosis,2024,1615
Respiratory diseases,Tuberculosis,2023,1429
Respiratory diseases,Tuberculosis,2022,1314
Respiratory diseases,Tuberculosis,2021,1471
Respiratory diseases,Tuberculosis,2020,1617
Respiratory diseases,Tuberculosis,2019,1508
Respiratory diseases,Tuberculosis,2018,1435
Respiratory diseases,Tuberculosis,2017,1441
Respiratory diseases,Tuberculosis,2016,1365
Respiratory diseases,Tuberculosis,2015,1253
Respiratory diseases,Tuberculosis,2014,1343
Respiratory diseases,Tuberculosis,2013,1268
Respiratory diseases,Tuberculosis,2012,1333
Respiratory diseases,Tuberculosis,2011,1391
Respiratory diseases,Tuberculosis,2010,1364
Respiratory diseases,Tuberculosis,2009,1308
Respiratory diseases,Tuberculosis,2008,1219
Respiratory diseases,Tuberculosis,2007,1130
Respiratory diseases,Tuberculosis,2006,1207
Respiratory diseases,Tuberculosis,2005,1073
Respiratory diseases,Tuberculosis,2004,1057
Respiratory diseases,Tuberculosis,2003,988
Respiratory diseases,Tuberculosis,2002,1061
Respiratory diseases,Tuberculosis,2001,1031
Respiratory diseases,Tuberculosis,2000,1062
Respiratory diseases,Tuberculosis,1999,1117
Respiratory diseases,Tuberculosis,1998,905
Respiratory diseases,Tuberculosis,1997,981
Respiratory diseases,Tuberculosis,1996,1043
Respiratory diseases,Tuberculosis,1995,1021
Respiratory diseases,Tuberculosis,1994,1020
Respiratory diseases,Tuberculosis,1993,987
Respiratory diseases,Tuberculosis,1992,948
Respiratory diseases,Tuberculosis,1991,607
Sexually transmissible infections,Chlamydial infection,2026,8895
Sexually transmissible infections,Chlamydial infection,2025,94434
Sexually transmissible infections,Chlamydial infection,2024,102225
Sexually transmissible infections,Chlamydial infection,2023,110024
Sexually transmissible infections,Chlamydial infection,2022,94377
Sexually transmissible infections,Chlamydial infection,2021,87389
Sexually transmissible infections,Chlamydial infection,2020,91486
Sexually transmissible infections,Chlamydial infection,2019,107388
Sexually transmissible infections,Chlamydial infection,2018,104848
Sexually transmissible infections,Chlamydial infection,2017,101212
Sexually transmissible infections,Chlamydial infection,2016,94726
Sexually transmissible infections,Chlamydial infection,2015,86400
Sexually transmissible infections,Chlamydial infection,2014,86808
Sexually transmissible infections,Chlamydial infection,2013,83830
Sexually transmissible infections,Chlamydial infection,2012,83203
Sexually transmissible infections,Chlamydial infection,2011,81076
Sexually transmissible infections,Chlamydial infection,2010,74360
Sexually transmissible infections,Chlamydial infection,2009,63201
Sexually transmissible infections,Chlamydial infection,2008,58628
Sexually transmissible infections,Chlamydial infection,2007,52042
Sexually transmissible infections,Chlamydial infection,2006,47278
Sexually transmissible infections,Chlamydial infection,2005,41133
Sexually transmissible infections,Chlamydial infection,2004,35726
Sexually transmissible infections,Chlamydial infection,2003,30483
Sexually transmissible infections,Chlamydial infection,2002,25017
Sexually transmissible infections,Chlamydial infection,2001,19599
Sexually transmissible infections,Chlamydial infection,2000,17440
Sexually transmissible infections,Chlamydial infection,1999,13771
Sexually transmissible infections,Chlamydial infection,1998,12784
Sexually transmissible infections,Chlamydial infection,1997,10391
Sexually transmissible infections,Chlamydial infection,1996,8415
Sexually transmissible infections,Chlamydial infection,1995,6415
Sexually transmissible infections,Chlamydial infection,1994,7106
Sexually transmissible infections,Chlamydial infection,1993,5789
Sexually transmissible infections,Chlamydial infection,1992,5047
Sexually transmissible infections,Chlamydial infection,1991,4352
Sexually transmissible infections,Donovanosis,2026,0
Sexually transmissible infections,Donovanosis,2025,0
Sexually transmissible infections,Donovanosis,2024,0
Sexually transmissible infections,Donovanosis,2023,0
Sexually transmissible infections,Donovanosis,2022,0
Sexually transmissible infections,Donovanosis,2021,0
Sexually transmissible infections,Donovanosis,2020,0
Sexually transmissible infections,Donovanosis,2019,0
Sexually transmissible infections,Donovanosis,2018,0
Sexually transmissible infections,Donovanosis,2017,0
Sexually transmissible infections,Donovanosis,2016,0
Sexually transmissible infections,Donovanosis,2015,0
Sexually transmissible infections,Donovanosis,2014,1
Sexually transmissible infections,Donovanosis,2013,0
Sexually transmissible infections,Donovanosis,2012,1
Sexually transmissible infections,Donovanosis,2011,0
Sexually transmissible infections,Donovanosis,2010,1
Sexually transmissible infections,Donovanosis,2009,1
Sexually transmissible infections,Donovanosis,2008,2
Sexually transmissible infections,Donovanosis,2007,3
Sexually transmissible infections,Donovanosis,2006,6
Sexually transmissible infections,Donovanosis,2005,13
Sexually transmissible infections,Donovanosis,2004,10
Sexually transmissible infections,Donovanosis,2003,16
Sexually transmissible infections,Donovanosis,2002,17
Sexually transmissible infections,Donovanosis,2001,31
Sexually transmissible infections,Donovanosis,2000,24
